Channel Title,Channel ID,View Count,Subscribers,Total Videos,Country,Started Date,Category
AG AUTOMOTIVE,UCHg4iu52fCCIKdS1NEYsfNg,1581683,3260,522,Australia,2007-05-14,Autos & Vehicles
Rosenthal Automotive,UCXF7KbhN1AaoWf_w-KbGwwQ,31901044,96100,262,United States,2010-03-15,Autos & Vehicles
Autos de México,UCkGMRuV0kP-ZhreB5eEmZvg,5537085,16500,803,Mexico,Unknown,Autos & Vehicles
auto mobil – das VOX-Automagazin,UCpEgkw27j9lk1h-wRhE2CQQ,8384066,18300,122,Germany,2014-03-27,Autos & Vehicles
auto motor und sport,UCLINPbYQ9sy6qc-TqtBeVnw,349151266,509000,4008,Germany,2007-08-01,Autos & Vehicles
Cars Simplified,UCDUz1cHTRYPavruT-G4ivcA,9863622,34800,403,United States,2011-06-11,Autos & Vehicles
Car Design Workshop,UC1RqLrVH-Y9KEeFfXdqjXVg,67046,4560,17,Australia,2011-03-04,Autos & Vehicles
coches.net,UCAMKTtcWpjjeKJnmWytLfZQ,458947270,964000,2376,Spain,2006-12-11,Autos & Vehicles
Die Helfer Autos ,UCktT-4y63Gc_n-j0CoZk55Q,26281323,57800,167,Germany,Unknown,Autos & Vehicles
George Auto,UC6DShjRJ0a5KA_tkzpWUXOQ,1936605,13800,267,Australia,Unknown,Autos & Vehicles
Auto Rush,UC9Ppf90pBspOvxvZfhtjSbw,49275899,54600,79,N/A,Unknown,Autos & Vehicles
CAR BROS,UCLqOteUnw2fvVH5PYN1nEhg,43353007,113000,21,N/A,2015-01-01,Autos & Vehicles
ROBS MODEL CARS,UCJEHcjC-Y2Ip4TRyfB-sqQw,4245668,31200,712,Australia,2016-01-22,Autos & Vehicles
Cars & Cream,UC_eLtDnwIiESWE7mJEb2DRg,340219,2050,101,United States,Unknown,Autos & Vehicles
Auto Buyers Guide | Alex on Autos,UC3qM33hHgedfi7qTKKgIApg,236699476,1050000,2374,United States,2011-05-13,Autos & Vehicles
Auto Fact Files,UCzTEL8CMmOmZ2EuGkAwf0GQ,32635,95,133,N/A,Unknown,Autos & Vehicles
Die Autodoktoren - offizieller Kanal,UCcnmNzv0yEEYPM6Oa86unhQ,416068911,825000,853,Germany,2011-12-16,Autos & Vehicles
Auto didactic,UCSsz5hijS79cioRCJcZpW2A,9107473,89700,1008,Australia,2019-01-24,Autos & Vehicles
Webby On Cars,UC9YfeKWoDustUaOHiJUYN7g,3088328,14000,232,Australia,2013-09-10,Autos & Vehicles
Auto Super,UC08IZDh4NSFHl8KYpYNdoVg,455128705,1630000,5417,Brazil,2015-09-16,Autos & Vehicles
Peter Finn the Car Doctor,UCTEWPVoaYwoYkc6AAf_bFpg,151684656,315000,4550,Finland,2006-10-23,Autos & Vehicles
